"airline","avail_seat_km_per_week","incidents_85_99","fatal_accidents_85_99","fatalities_85_99","incidents_00_14","fatal_accidents_00_14","fatalities_00_14"
"MEX*","596871813","3","1","64","5","0","0"
"CAN","1865253802","2","0","0","2","0","0"
"FRA","3004002661","14","4","79","6","2","337"
"IND","869253552","2","1","329","4","1","158"
"NZ","710174817","3","0","0","5","1","7"
"NIP","1841234177","3","1","1","7","0","0"
"USA","5228357340","21","5","101","17","3","416"
"AUS","358239823","1","0","0","1","0","0"
"ENG","3179760952","4","0","0","6","0","0"
"JPN","1574217531","3","1","520","0","0","0"
